Chr	Start	End	CRMName	GeneName
3R	12590916	12592512	Ubx_pair-rule_(zebra)_like_S2_enhancer	Ubx
3R	12531896	12533277	ubx_pbx Zhang_Development_1991	ubx
3R	12598960	12600338	Ubx_PBX_enhancer	Ubx
3R	12599228	12599812	Ubx_pbxAS	Ubx
3R	12598960	12599257	Ubx_pbxPB	Ubx
3R	12598960	12599583	Ubx_pbxSB	Ubx
3R	12528701	12529200	Ubx_peak_+31.1	Ubx
3R	12606599	12607198	Ubx_peak_-46.4	Ubx
3R	12589360	12590916	Ubx_PRE_polycomb_response_element	Ubx
3R	12592550	12594286	Ubx_ventral_imaginal_disc_enhancer	Ubx
3R	24637099	24637460	wdn_pqp-DK	wdn
3R	24637029	24637270	wdn_pqp-HN	wdn
3R	2579865	2580591	zen_0.7	zen
3R	2579865	2581378	zen_1.4	zen
3R	2580903	2581527	zen_dorsal_ectoderm	zen
X	228981	239352	ac_101H10	ac
X	228203	231652	ac_101R3.2	ac
X	4272901	4279066	bi_pomb19	bi
X	4283977	4291036	bi_pomb29	bi
X	4231703	4233190	bi_pomb33	bi
X	7142169	7142667	brk_neurogenic_ectoderm	brk
X	9534641	9539846	btd_RV-2ndB	btd
X	9535642	9536715	btd_Ss-Bg	btd
X	11328158	11330820	CG1751_spase25prom	CG1751
X	11685871	11688049	CG1967_p24-1prom	CG1967
X	19926374	19927133	CG9571_O-E	CG9571
X	8323349	8324136	Cp36_DRR	Cp36
X	8324430	8324513	Cp36_PRR	Cp36
X	7373432	7376124	ct_wing_margin_enhancer	ct
X	7375461	7376129	ct_wingmargin_Guss	ct
X	19513824	19516692	dome_dome-MESO	dome
X	374760	380140	elav_construct_J	elav
X	379807	380140	elav_construct_L	elav
X	2285170	2286409	gt_-1_construct	gt
X	2293911	2295656	gt_-10_construct	gt
X	2286416	2287625	gt_-3_construct	gt
X	2289444	2291626	gt_-6_construct	gt
X	2286739	2287837	gt_CE8001	gt
X	2290097	2290901	gt_gt1	gt
X	2294438	2295651	gt_gt23	gt
X	10973795	10975871	Gtp-bp_srpRalpha_prom	Gtp-bp
X	18039896	18043470	Him_distal	Him
X	18041232	18043470	Him_proximal	Him
X	9132404	9132655	lz_LMEE	lz
X	3096402	3096490	ng1_HZ50-ng-EcRE	ng1
X	3098249	3098894	ng1_ng1-fusA	ng1
X	3098299	3098422	ng1_ng1-pHZdel-alpha2	ng1
X	18969778	18972746	Obp18a_prom	Obp18a
X	20223943	20226446	Obp19a_prom	Obp19a
X	20224439	20227440	Obp19b_prom	Obp19b
X	20229403	20232404	Obp19c_prom	Obp19c
X	8488284	8490117	oc_+7_construct	oc
X	8496877	8497063	oc_head hox_pro	oc
X	8499138	8500999	oc_otd_early_enhancer	oc
X	8500058	8500971	oc_otd_EHE	oc
X	8482066	8484632	oc_otd_eye_enhancer	oc
X	8499876	8500063	oc_otd-186	oc
X	8334617	8335160	otu_otu:lacZ	otu
X	4909431	4909700	ovo_lacZdel-ap-del-6	ovo
X	2541172	2541243	per_-563/-494/hs/lacZ	per
X	2541173	2541243	per_minimal_clock_control_region	per
X	2000354	2007735	Pgd_-1172+6.2	Pgd
X	2001407	2001550	Pgd_-121.lacZ	Pgd
X	2000354	2001550	Pgd_-421.lacZ	Pgd
X	2834625	2839122	rst_F5	rst
X	2834624	2837073	rst_F5p	rst
X	2837067	2842058	rst_F6	rst
X	2839593	2841922	rst_F6d	rst
X	2837067	2839598	rst_F6p	rst
X	20506115	20510918	run_6stripe_+1EE	run
X	20507938	20514816	run_6stripe_+3GG	run
X	20500025	20505116	run_7stripe_5kb	run
X	20502470	20505116	run_7stripe_reduced	run
X	20488930	20490687	run_neural_15GG	run
X	20498986	20500025	run_neural_6GB	run
X	20487958	20488757	run_peak_-17.2	run
X	20492297	20493637	run_stripe_5	run
X	20490687	20492298	run_stripe1+7	run
X	20493863	20496267	run_stripe3+7	run
X	286525	293131	sc_ANP	sc
X	216690	222757	sc_DC	sc
X	291926	293131	sc_GSR/dR/dTG	sc
X	251932	252692	sc_L3/TSM	sc
X	260358	264143	sc_pTG	sc
X	249786	250141	sc_SMC	sc
X	15458634	15459026	sog_broad_lateral_neurogenic_ectoderm	sog
X	449527	449875	vnd_348	vnd
X	442566	445110	vnd_-5.3/-2.8	vnd
X	442566	443844	vnd_A	vnd
X	448770	450476	vnd_early_embryonic_enhancer	vnd
X	2646754	2652612	w_B4hsp-W	w
X	2646754	2653382	w_Bmdel-W	w
X	2653721	2654491	w_H-del-BgRVdel-W	w
X	2646754	2654491	w_HPst-W	w
X	17949689	17950561	wupA_IRE-0.89	wupA
X	211463	218151	y_D-1868	y
X	210459	218151	y_D-2873	y
X	212835	218151	y_D-495	y
X	213239	218151	y_D-91	y
X	210609	211475	y_wing	y
X	9898749	9898875	Yp1_fat_body_enhancer	Yp1
X	9897899	9898139	Yp1_oe1	Yp1
X	9897990	9898139	Yp1_oe1-5prime	Yp1
X	9897751	9897853	Yp1_oe2	Yp1
